DATE,CAPTION,TYPE,LINK,RETWEET,REPLIES,LIKES,QUOTES
2022-07-10,"Kukatiwa umeme bila taarifa kwa siku nzima hili ni tatizo la kwanza watu wasisahau kumwambia waziri wa nishati anavyotembelea wilaya 38, mikoa 14. Atakuwa na ziara ya siku 21. Kukagua miradi inayotekelezwa na wizara lakini pia kusikiliza kero, maoni, na ushauri
#MamaYukoKazini https://t.co/VJzjyrOflG",RT,https://twitter.com/x/status/1546390320623112192,4,0,0,0
2022-07-10,"Serikali imejipanga kusaidia watoto wanao toka katika kaya masikini kupata elimu ya juu kwa kupitai TASAF, ambayo kwa kuanzia imetenga shilingi bilioni 8. Hii ikiwa ni lengo Rais Samia Suluhu kuhakikisha hukuna mtoto anae kosa elimu kwasababu ya gharama #MamaYukoKazini",POST,https://twitter.com/x/status/1546387230469545985,0,0,0,0
2022-07-10,Rais anae jali maendeleo ya watu na vitu #MamaYukoKazini https://t.co/s7NBHnZdZm,RT,https://twitter.com/x/status/1546384737958346752,1,0,0,0
