DATE,CAPTION,TYPE,RETWEET,REPLIES,LIKES,QUOTES
2022-07-02,"Serikali ya Awamu ya sita imetoa ajira mpya 1,605 kada ya afya kuziba uhitaji uliotokana na kupanuliwa hospitali, huduma, ujenzi wa vituo vya afya &amp; kuongezeka kwa vifaa tiba vya kisasa. Jitihada hizi zinalenga kujenga jamii yenye afya bora kwa maendeleo ya Taifa. #MamaYukoKazini https://t.co/KriBJHuwId",RT,21,0,0,0
2022-07-02,"Kilimo kinagusa maisha ya 80% ya Watanzania wote.

Takribani robo ya Watanzania wakiishi kwenye umaskini, kuimarisha kilimo ndio njia ya moja kwa moja itakayogusa maisha yao na kuwatoa katika umaskini.

#MamaYukoKazini https://t.co/1wvNGTVQYN",RT,16,0,0,0
2022-07-02,"Serikali ya awamu ya sita chini ya Rais @SuluhuSamia TRA yakuvuka lengo ya makusanyo, ilipaswa kukusanya Trilioni 5.30 ila  imekusanya Trilioni 5.59. IFAHAMIKE ni ukuaji wa 22.70% ukilinganisha kipindi kama hiki 2020/2021.
#MamaYukoKazini https://t.co/PNucVr4LIG",RT,10,0,0,0
2022-07-02,"Watanzania wananufaika vipi na anwani za makazi?

Kuimarisha ulinzi na usalama, kila mtu atatambulika alipo.

Kuwezesha biashara mtandao.

Zinarahisisha utoaji huduma, mathalani za dharura (zimamoto).

Zinarahisisha kukusanya kodi.

Kuongeza ufanisi katika sensa.

#MamaYukoKazini https://t.co/oF2LPakA9R",RT,18,0,0,0
2022-07-01,"MAONESHO YA SABASABA, DSM, 2022 

Kazi kubwa inafanyika na Rais wa Jamhuri ya Muungano wa Tanzania Mhe. Samia Suluhu Hassan ya kufungua milango ya Biashara Nchini https://t.co/HkJSXzIqvd",RT,3,0,0,0
2022-07-01,"""Mabadiliko katika sheria zetu za uchaguzi yataleta ushindani wa haki na kuwapa watu fursa ya kuwachagua wawatakao kuwaongoza Kwenye uchumi, mabadiliko yatakuwa na lengo la kutoa fursa zaidi kwa watu wengi zaidi kunufaika kiuchumi badala ya wachache"" @SuluhuSamia #MamaYukoKazini https://t.co/nqD5tAL7rQ",POST,10,5,20,0
2022-07-01,Wakuu wote wa shule wasiwatoze wanafunzi michango yoyote ambayo haijabainishwa kwenye miongozo na nyaraka za maelekezo ya Serikali. Mkuu wa shule yeyeyote atakayekiuka maelekezo haya atachukuliwa hatua stahiki #mamayukokazini #sisitumekubali https://t.co/rWFPkvjGJN,RT,7,0,0,0
2022-07-01,#MamaYukoKazini https://t.co/tpd9TFwwk9,RT,3,0,0,0
2022-07-01,"Takwimu za TRA 2021/22;

Lengo - TZS trilioni 22.45

Makusanyo - TZS trilioni 22.28

Makusanyo hayo ni ongezeko la 22.77% ikilinganishwa na 2020/21

Ufanisi huo ni kuimarika kwa usimamizi na ukusanyaji wa kodi, mazingira bora ya biashara &amp; ulipaji kodi kwa hiari. #MamaYukoKazini https://t.co/IXPTpZilAX",POST,2,1,9,1
2022-07-01,Nguzo nne za uongozi wa Mhe. Rais Samia Suluhu Hassan. #MamaYukoKazini https://t.co/rLXvOYKI4c,RT,18,0,0,0
2022-07-01,"Umeme katika madarasa ya kisasa yaliyojengwa na Serikali ya Mhe. Rais Samia Suluhu unachochea matumizi ya TEHAMA katika kufundishia, hivyo kuwaandaa wanafunzi kuendana na kasi na mahitaji ya karne ya 21. #MamaYukoKazini https://t.co/COnF0iMjly",RT,19,0,0,0
2022-07-01,#MamaYukoKazini @SuluhuSamia ???????? https://t.co/RbzRSjVjvI,RT,2,0,0,0
2022-07-01,"...Michango Kibao imeondolewa mashulen ili kuleta maana halisi ya elimu bila Ada 

#MamaYukoKazini https://t.co/oFNQZhyk34",POST,1,0,13,0
2022-07-01,"Takwimu za TRA 2021/22;

Lengo - TZS trilioni 22.45

Makusanyo - TZS trilioni 22.28

Makusanyo hayo ni ongezeko la 22.77% ikilinganishwa na 2020/21.

Ufanisi huo ni kuimarika kwa usimamizi na ukusanyaji wa kodi, mazingira bora ya biashara &amp; ulipaji kodi kwa hiari. #MamaYukoKazini https://t.co/rDaCBwD7Os",RT,14,0,0,0
2022-07-01,"Mhe. Rais Samia Suluhu anaendelea kusimamia sera na sheria zinazotoa haki ya elimu kwa kila mtoto, kwa kuleta unafuu wa elimu kwa wazazi. #MamaYukoKazini https://t.co/Z7dO1dx4xM",RT,17,0,0,0
2022-07-01,"Baada ya Marekani, sasa Tanzania na Ufarasa zimesaini hati za makubaliano zitakazowezesha ndege za mataifa hayo kufanya safari za moja kwa moja.

Tanzania ikilenga kufikia watalii milioni 5, hatua hii itaongeza watalii, itazalisha ajira na kuongeza mapato. #MamaYukoKazini https://t.co/0liVw6fNRE",RT,19,0,0,0
2022-07-01,#MamaYukoKazini kazi iendelee https://t.co/OcExOm7yjZ,RT,5,0,0,0
2022-06-30,@ikulumawasliano @tzDiscovery #MamaYukoKazini Ndani ya Miaka 30 vyama vimefanya siasa safi,REPLY,0,0,3,0
2022-06-30,"Ziara za Rais Samia Suluhu zimeongeza uwekezaji wa ndani kufikia dola bilioni 9. 
#MamaYukoKazini https://t.co/QbhOZU9B5E",RT,8,0,0,0
2022-06-30,..Mtazamo wa Samia Suluhu katika Miaka 30 ya Vyama vingi Nchini Tanzania. https://t.co/OdUAOSOiq5,POST,1,2,14,0
2022-06-30,"Baada ya Marekani, sasa Tanzania na Ufarasa zimesaini hati za makubaliano zitakazowezesha ndege za mataifa hayo kufanya safari za moja kwa moja.

Tanzania ikilenga kufikia watalii milioni 5, hatua hii itaongeza watalii, itazalisha ajira na kuongeza mapato. #MamaYukoKazini https://t.co/93AxruXoiR",RT,22,0,0,0
2022-06-30,"Ongezeko la bajeti ya pembejeo kwa 50% mwaka 2022/23.

Furaha ya wakulima wa Korosho mkoani Mtwara haikujificha. #MamaYukoKazini https://t.co/L1gmFr0t5I",RT,16,0,0,0
2022-06-30,"...Unajua mkakati wa Tanzania kutumia Gesi 

Naaam Karibu utazame video hii fupi .

#MamaYukoKazini https://t.co/BDrRu5vifk",POST,3,0,5,0
